,Country_code,Country_name,Indicator_Code,Indicator_name,OBS_VALUE,TIME_PERIOD,Sex,Residence,Wealth_quintile,Age,OBS_FOOTNOTE,FREQ,DATA_SOURCE
0,SMR,San Marino,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,1.0,2017,Female,Total,Total,15 to 19 years old,N/A,1,Registration UNSD & WPP2022
1,TKM,Turkmenistan,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,28.0,2017,Female,Total,Total,15 to 19 years old,N/A,1,Turkmenistan 2019 Multiple Indicator Cluster Survey
2,RUS,Russian Federation,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,16.0,2018,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
3,BLR,Belarus,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,12.0,2018,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
4,SVK,Slovakia,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,27.0,2019,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
5,TJK,Tajikistan,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,42.0,2019,Female,Total,Total,15 to 19 years old,N/A,1,Registration National Statistics & WPP2022
6,BIH,Bosnia and Herzegovina,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,10.0,2019,Female,Total,Total,15 to 19 years old,N/A,1,Registration National Statistics & WPP2022
7,KGZ,Kyrgyzstan,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,33.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration National Statistics & WPP2022
8,GBR,United Kingdom,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,10.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
9,LIE,Liechtenstein,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,2.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
10,LTU,Lithuania,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,8.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
11,LUX,Luxembourg,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,4.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
12,ALB,Albania,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,13.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
13,ITA,Italy,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,3.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
14,NOR,Norway,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,2.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
15,POL,Poland,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,8.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
16,ESP,Spain,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,5.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
17,ROU,Romania,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,35.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
18,SRB,Serbia,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,14.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
19,MLT,Malta,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,11.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
20,NLD,Netherlands,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,2.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
21,TUR,Türkiye,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,15.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
22,HUN,Hungary,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,21.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
23,AND,Andorra,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,0.5,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration National Statistics & WPP2022
24,AZE,Azerbaijan,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,42.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
25,AUT,Austria,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,5.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
26,ARM,Armenia,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,14.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
27,BEL,Belgium,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,5.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
28,BGR,Bulgaria,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,38.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
29,HRV,Croatia,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,8.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
30,CYP,Cyprus,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,8.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
31,SVN,Slovenia,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,4.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
32,MKD,North Macedonia,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,16.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
33,UKR,Ukraine,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,14.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
34,EST,Estonia,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,8.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
35,FRA,France,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,6.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
36,GEO,Georgia,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,27.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
37,DEU,Germany,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,6.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
38,GRC,Greece,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,8.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
39,IRL,Ireland,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,5.0,2020,Female,Total,Total,15 to 19 years old,N/A,1,Registration Eurostat
40,CHE,Switzerland,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,1.0,2021,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
41,SWE,Sweden,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,2.0,2021,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
42,LVA,Latvia,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,10.0,2021,Female,Total,Total,15 to 19 years old,N/A,1,Registration National Statistics & WPP2022
43,MNE,Montenegro,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,10.0,2021,Female,Total,Total,15 to 19 years old,N/A,1,Registration National Statistics & WPP2022
44,MDA,Republic of Moldova,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,25.0,2021,Female,Total,Total,15 to 19 years old,N/A,1,Registration National Statistics & WPP2022
45,KAZ,Kazakhstan,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,23.0,2021,Female,Total,Total,15 to 19 years old,N/A,1,Registration National Statistics & WPP2022
46,ISL,Iceland,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,3.0,2021,Female,Total,Total,15 to 19 years old,N/A,1,Registration National Statistics & WPP2022
47,FIN,Finland,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,4.0,2021,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
48,DNK,Denmark,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,1.0,2021,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
49,CZE,Czech Republic,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,9.0,2021,Female,Total,Total,15 to 19 years old,N/A,1,Czech Republic 2021 Census
50,PRT,Portugal,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,6.0,2021,Female,Total,Total,15 to 19 years old,N/A,1,Estimate Human Fertility Database
51,UZB,Uzbekistan,FT_SP_DYN_ADKL,Adolescent birth rate - SDG 3.7.2,34.0,2021,Female,Total,Total,15 to 19 years old,N/A,1,Registration National Statistics & WPP2022
